                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2012,                  3.878,                 4.2514,                0.00079,                 0.0396,                0.00044,                  8e-05,                 3.8139,                 3.8448,                 4.1584,                 0.0002,                 0.0002,                 0.0002
                      2,                 3.7621,                 3.6685,                 4.2028,                0.00078,                 0.0396,                0.00046,                  8e-05,                 3.8207,                  3.853,                 4.1501,             0.00041584,             0.00041584,             0.00041584
                      3,                 3.7697,                 3.2411,                 4.0362,                0.00079,                 0.0396,                0.00047,                  8e-05,                 3.8513,                 3.9263,                 4.1507,             0.00062733,             0.00062733,             0.00062733
                      4,                 3.2606,                 2.9083,                 3.7819,                0.00117,                0.05941,                 0.0008,                0.00011,                 4.0435,                 4.0402,                 4.2307,             0.00083446,             0.00083446,             0.00083446
                      5,                 2.8784,                 2.5044,                 3.3774,                0.00119,                0.05941,                0.00081,                0.00011,                 4.1784,                 4.1639,                  4.355,              0.0010372,              0.0010372,              0.0010372
                      6,                 2.7109,                 2.3679,                 3.1174,                0.00124,                0.05941,                0.00084,                0.00012,                 4.0042,                 3.8612,                  4.297,              0.0012357,              0.0012357,              0.0012357
                      7,                  2.642,                 2.2425,                  2.915,                0.00911,                0.53465,                0.00857,                0.00185,                 3.7921,                 3.4487,                 4.0586,              0.0014297,              0.0014297,              0.0014297
                      8,                 2.5759,                 2.0403,                 2.7298,                0.37013,                0.71287,                0.39512,                0.10475,                 3.0069,                 2.9847,                 3.1609,              0.0016194,              0.0016194,              0.0016194
                      9,                 2.5675,                 2.0173,                 2.7331,                0.01441,                0.71287,                0.21183,                0.04675,                  3.433,                 2.6222,                  3.504,              0.0018048,              0.0018048,              0.0018048
                     10,                 2.3626,                 2.0411,                 2.6784,                0.46739,                0.48657,                0.40024,                0.11334,                 2.8783,                 1.8189,                 3.0604,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.3121,                  1.873,                 2.5182,                0.60602,                0.51485,                 0.5698,                0.22935,                 2.2532,                 1.6904,                  2.681,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.2622,                 1.8694,                  2.525,                0.07635,                0.57941,                0.07386,                0.02577,                 2.4758,                 6.2217,                 2.8597,               0.001802,               0.001802,               0.001802
                     13,                 2.2645,                 1.7841,                 2.3777,                0.08824,                0.58416,                0.08418,                 0.0364,                 2.2117,                 9.2952,                 2.5926,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.1323,                 1.6593,                 2.3246,                0.31244,                0.79208,                0.32257,                 0.1609,                 1.8309,                 1.8898,                 2.2508,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.1655,                 1.7879,                 2.3406,                0.78599,                0.84158,                0.88616,                0.49605,                 1.7115,                 1.3909,                 2.1789,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.0611,                 1.5776,                  2.214,                0.71363,                 0.8389,                0.81608,                0.36982,                 1.9064,                 2.2604,                 2.2878,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.1555,                 1.7724,                 2.3747,                0.73139,                0.86272,                0.81933,                0.34329,                 1.9609,                 2.0705,                 2.3419,               0.001703,               0.001703,               0.001703
                     18,                  2.034,                 1.5948,                 2.1427,                0.87783,                0.92484,                0.97354,                 0.5469,                 1.6026,                 2.4845,                  2.085,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.1055,                 1.7195,                 2.3787,                0.85183,                0.86139,                0.93141,                0.30786,                 2.3361,                 2.2223,                 2.5931,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.1011,                 1.6068,                 2.2983,                0.81191,                0.89756,                0.93815,                 0.4934,                 1.7365,                 1.5965,                 2.1454,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.0936,                  1.619,                 2.2681,                0.88138,                0.89109,                0.96151,                0.51482,                 1.7607,                 1.5063,                 2.1413,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.1279,                 1.6463,                 2.2582,                0.91463,                0.84861,                0.95449,                0.49436,                 1.7631,                 1.3136,                 2.1738,               0.001604,               0.001604,               0.001604
                     23,                 2.1313,                 1.6246,                  2.209,                0.81379,                0.85149,                0.90944,                0.51107,                 1.6217,                 1.2792,                 2.0844,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.9737,                 1.5241,                 2.2515,                0.89655,                0.87129,                0.93834,                0.53699,                 1.6019,                 1.2215,                 2.0386,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.0075,                 1.5341,                 2.1951,                0.86687,                0.87129,                0.92786,                0.50841,                 1.6597,                  1.288,                  2.067,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.9407,                 1.5831,                 2.1088,                0.75799,                0.84158,                0.86153,                0.40517,                 1.7934,                 1.3361,                  2.203,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.9208,                 1.5428,                 2.1437,                0.83807,                 0.9224,                 0.9444,                0.56584,                  1.537,                 1.1516,                 1.9859,               0.001505,               0.001505,               0.001505
                     28,                 1.9208,                 1.4762,                  2.125,                0.85199,                0.91192,                0.93758,                0.55059,                  1.582,                 1.0997,                 1.9941,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.9235,                 1.5562,                 2.1368,                0.85226,                0.91089,                0.92498,                0.52178,                 1.5673,                 1.1956,                 2.0008,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.8513,                 1.5366,                 2.1066,                0.84837,                0.92079,                0.93228,                0.54618,                 1.5184,                 1.1767,                 1.9734,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.8361,                 1.4088,                 2.0275,                0.83919,                0.94059,                0.94719,                0.54052,                 1.5643,                 1.0785,                 1.9874,              0.0014258,              0.0014258,              0.0014258
                     32,                  1.846,                 1.4971,                 2.1335,                0.84538,                0.86615,                0.89707,                0.53437,                  1.502,                 1.2154,                 1.9502,               0.001406,               0.001406,               0.001406
                     33,                 1.8384,                 1.4605,                 2.0671,                0.82207,                0.91488,                  0.909,                0.52735,                 1.5235,                 1.1764,                 1.9686,              0.0013862,              0.0013862,              0.0013862
                     34,                  1.826,                 1.4215,                 2.0564,                0.83699,                0.91509,                0.89505,                0.50661,                 1.5912,                 1.1611,                 2.0145,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.8332,                 1.4307,                 2.0486,                0.81196,                0.89784,                0.84066,                0.47266,                 1.5531,                 1.1868,                 1.9869,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.8104,                 1.4641,                  2.016,                0.89503,                0.92869,                0.96514,                0.55979,                 1.5753,                 1.0579,                 1.9765,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.7191,                 1.3228,                 1.9547,                0.91967,                 0.9505,                0.97705,                 0.5649,                 1.5601,                 1.0623,                 1.9707,               0.001307,               0.001307,               0.001307
                     38,                 1.7404,                  1.304,                 1.9742,                0.87983,                0.90099,                0.93261,                0.52402,                 1.5588,                 1.0481,                 1.9759,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.7413,                 1.2775,                   1.88,                0.84442,                 0.9136,                0.93218,                0.57023,                 1.3832,                 1.3047,                 1.8328,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.7839,                 1.4013,                 2.0235,                0.87348,                0.93069,                0.96079,                0.57497,                 1.5324,                 0.9913,                 1.9351,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.7439,                 1.3436,                 1.9378,                0.92949,                0.93069,                0.97949,                 0.6395,                 1.3722,                0.96154,                 1.8177,              0.0012278,              0.0012278,              0.0012278
